#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         648    0.911368    0.799608  0.00892143
         649    0.910925     0.79978  0.00890934
         650    0.910448     0.79995  0.00889726
         651    0.909935    0.800119  0.00888519
         652    0.909386    0.800287  0.00887315
         653    0.908802    0.800453  0.00886111
         654    0.908183    0.800618   0.0088491
         655    0.907527    0.800781  0.00883709
         656    0.906836    0.800942   0.0088251
         657    0.906108    0.801102  0.00881312
         658    0.905345    0.801261  0.00880115
         659    0.904545    0.801418  0.00878919
         660     0.90371    0.801573  0.00877724
         661    0.902838    0.801726   0.0087653
         662     0.90193    0.801877  0.00875336
         663    0.900986    0.802027  0.00874144
         664    0.900006    0.802174  0.00872952
         665    0.898991     0.80232   0.0087176
         666     0.89794    0.802463   0.0087057
         667    0.896855    0.802605  0.00869379
         668    0.895737    0.802744   0.0086819
         669    0.894586    0.802882     0.00867
         670    0.893402    0.803017  0.00865812
         671    0.892186     0.80315  0.00864623
         672    0.890939     0.80328  0.00863435
         673    0.889662    0.803409  0.00862248
         674    0.888355    0.803535  0.00861061
         675    0.887021    0.803658  0.00859874
         676    0.885662     0.80378  0.00858687
         677    0.884278    0.803899  0.00857501
         678    0.882871    0.804015  0.00856316
         679    0.881441    0.804129   0.0085513
         680     0.87999    0.804241  0.00853946
         681     0.87852     0.80435  0.00852761
         682     0.87703    0.804456  0.00851578
         683    0.875525     0.80456  0.00850394
         684    0.874004    0.804662  0.00849212
         685    0.872471    0.804761   0.0084803
         686    0.870927    0.804857  0.00846848
         687    0.869374    0.804951  0.00845668
         688    0.867815    0.805043  0.00844488
         689    0.866251    0.805131  0.00843309
         690    0.864683    0.805218  0.00842131
         691    0.863115    0.805301  0.00840954
         692    0.861548    0.805383  0.00839778
         693    0.859984    0.805462  0.00838603
         694    0.858424    0.805538  0.00837429
         695     0.85687    0.805612  0.00836257
         696    0.855325    0.805683  0.00835086
         697     0.85379    0.805752  0.00833916
         698    0.852267    0.805819  0.00832748
         699    0.850757    0.805883  0.00831582
         700    0.849263    0.805945  0.00830417
         701    0.847786    0.806005  0.00829254
         702    0.846327    0.806062  0.00828092
         703    0.844888    0.806117  0.00826933
         704    0.843468     0.80617  0.00825775
         705    0.842069    0.806221   0.0082462
         706    0.840693     0.80627  0.00823466
         707    0.839339    0.806317  0.00822315
         708     0.83801    0.806362  0.00821165
         709    0.836706    0.806405  0.00820018
         710    0.835427    0.806445  0.00818874
         711    0.834174    0.806484  0.00817731
         712    0.832946    0.806522  0.00816591
         713    0.831743    0.806557  0.00815453
         714    0.830566    0.806591  0.00814318
         715    0.829413    0.806623  0.00813186
         716    0.828284    0.806653  0.00812055
         717    0.827179    0.806681  0.00810928
         718    0.826097    0.806708  0.00809803
         719    0.825038    0.806734  0.00808681
         720    0.824001    0.806758  0.00807561
         721    0.822985     0.80678  0.00806444
         722    0.821989    0.806801   0.0080533
         723    0.821012    0.806821  0.00804219
         724    0.820053    0.806839   0.0080311
         725    0.819111    0.806856  0.00802004
         726    0.818184    0.806872  0.00800901
         727    0.817271    0.806886    0.007998
         728    0.816371    0.806899  0.00798703
         729    0.815482    0.806911  0.00797608
