# generation:     mean_loss:           best_loss:
822                  75.1577                  75.1577
823                  75.1577                  75.1577
824                  75.1577                  75.1577
825                  75.1577                  75.1577
826                  75.1577                  75.1577
827                  75.1577                  75.1577
828                  75.1577                  75.1577
829                  75.1577                  75.1577
830                  75.1577                  75.1577
831                  75.1577                  75.1577
832                  75.1577                  75.1577
833                  75.1577                  75.1577
834                  75.1577                  75.1577
835                  75.1577                  75.1577
836                  75.1577                  75.1577
837                  75.1577                  75.1577
838                  75.1577                  75.1577
839                  75.1577                  75.1577
840                  75.1577                  75.1577
841                  75.1577                  75.1577
842                  75.1577                  75.1577
843                  75.1577                  75.1577
844                  75.1577                  75.1577
845                  75.1577                  75.1577
846                  75.1577                  75.1577
847                  75.1577                  75.1577
848                  75.1577                  75.1577
849                  75.1577                  75.1577
850                  75.1577                  75.1577
851                  75.1577                  75.1577
852                  75.1577                  75.1577
853                  75.1577                  75.1577
854                  75.1577                  75.1577
855                  75.1577                  75.1577
856                  75.1577                  75.1577
857                  75.1577                  75.1577
858                  75.1577                  75.1577
859                  75.1577                  75.1577
860                  75.1577                  75.1577
861                  75.1577                  75.1577
862                  75.1577                  75.1577
863                  75.1577                  75.1577
864                  75.1577                  75.1577
865                  75.1577                  75.1577
866                  75.1577                  75.1577
867                  75.1577                  75.1577
868                  75.1577                  75.1577
869                  75.1577                  75.1577
870                  75.1577                  75.1577
871                  75.1577                  75.1577
872                  75.1577                  75.1577
873                  75.1577                  75.1577
874                  75.1577                  75.1577
875                  75.1577                  75.1577
876                  75.1577                  75.1577
877                  75.1577                  75.1577
878                  75.1577                  75.1577
879                  75.1577                  75.1577
880                  75.1577                  75.1577
881                  75.1577                  75.1577
882                  75.1577                  75.1577
883                  75.1577                  75.1577
884                  75.1577                  75.1577
885                  75.1577                  75.1577
886                  75.1577                  75.1577
887                  75.1577                  75.1577
888                  75.1577                  75.1577
889                  75.1577                  75.1577
890                  75.1577                  75.1577
891                  75.1577                  75.1577
892                  75.1577                  75.1577
893                  75.1577                  75.1577
894                  75.1577                  75.1577
895                  75.1577                  75.1577
896                  75.1577                  75.1577
897                  75.1577                  75.1577
898                  75.1577                  75.1577
899                  75.1577                  75.1577
900                  75.1577                  75.1577
901                  75.1577                  75.1577
902                  75.1577                  75.1577
903                  75.1577                  75.1577
904                  75.1577                  75.1577
905                  75.1577                  75.1577
906                  75.1577                  75.1577
907                  75.1577                  75.1577
908                  75.1577                  75.1577
909                  75.1577                  75.1577
910                  75.1577                  75.1577
911                  75.1577                  75.1577
912                  75.1577                  75.1577
913                  75.1577                  75.1577
